ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601544,2,80,,1601544,2601544,0,200386
601545,2,80,,1601545,2601545,0,200387
601546,2,80,,1601546,2601546,0,200388
601547,2,80,,1601547,2601547,0,200389
601548,2,80,,1601548,2601548,0,200390
601549,2,80,,1601549,2601549,0,200391
601550,2,80,,1601550,2601550,0,200392
601551,2,80,,1601551,2601551,0,200393
601552,2,80,,1601552,2601552,0,200394
601553,2,80,,1601553,2601553,0,200395
601554,2,80,,1601554,2601554,0,200396
601555,2,80,,1601555,2601555,0,200397
601556,2,80,,1601556,2601556,0,200398
601557,2,80,,1601557,2601557,0,200399
601558,2,80,,1601558,2601558,0,200400
601559,2,80,,1601559,2601559,0,200401
601560,2,80,,1601560,2601560,0,200402
601561,2,80,,1601561,2601561,0,200403
601562,2,80,,1601562,2601562,0,200404
601563,2,80,,1601563,2601563,0,200405
601564,2,80,,1601564,2601564,0,200406
601565,2,80,,1601565,2601565,0,200407
601566,2,80,,1601566,2601566,0,200408
601567,2,80,,1601567,2601567,0,200409
601568,2,80,,1601568,2601568,0,200410
601569,2,80,,1601569,2601569,0,200411
601570,2,80,,1601570,2601570,0,200412
601571,2,80,,1601571,2601571,0,200413
601572,2,80,,1601572,2601572,0,200414
601573,2,80,,1601573,2601573,0,200415
601574,2,80,,1601574,2601574,0,200416
601575,2,80,,1601575,2601575,0,200417
601576,2,80,,1601576,2601576,0,200418
601577,2,80,,1601577,2601577,0,200419
601578,2,80,,1601578,2601578,0,200420
601579,2,80,,1601579,2601579,0,200421
601580,2,80,,1601580,2601580,0,200422
601581,2,80,,1601581,2601581,0,200423
601582,2,80,,1601582,2601582,0,200424
601583,2,80,,1601583,2601583,0,200425
601584,2,80,,1601584,2601584,0,200426
601585,2,80,,1601585,2601585,0,200427
601586,2,80,,1601586,2601586,0,200428
601587,2,80,,1601587,2601587,0,200429
601588,2,80,,1601588,2601588,0,200430
601589,2,80,,1601589,2601589,0,200431
601590,2,80,,1601590,2601590,0,200432
601591,2,80,,1601591,2601591,0,200433
601592,2,80,,1601592,2601592,0,200434
601593,2,80,,1601593,2601593,0,200435
601594,2,80,,1601594,2601594,0,200436
601595,2,80,,1601595,2601595,0,200437
601596,2,80,,1601596,2601596,0,200438
601597,2,80,,1601597,2601597,0,200439
601598,2,80,,1601598,2601598,0,200440
601599,2,80,,1601599,2601599,0,200441
601600,2,80,,1601600,2601600,0,200442
601601,2,80,,1601601,2601601,0,200443
601602,2,80,,1601602,2601602,0,200444
601603,2,80,,1601603,2601603,0,200445
601604,2,80,,1601604,2601604,0,200446
601605,2,80,,1601605,2601605,0,200447
601606,2,80,,1601606,2601606,0,200448
601607,2,80,,1601607,2601607,0,200449
601608,2,80,,1601608,2601608,0,200450
601609,2,80,,1601609,2601609,0,200451
601610,2,80,,1601610,2601610,0,200452
601611,2,80,,1601611,2601611,0,200453
601612,2,80,,1601612,2601612,0,200454
601613,2,80,,1601613,2601613,0,200455
601614,2,80,,1601614,2601614,0,200456
601615,2,80,,1601615,2601615,0,200457
601616,2,80,,1601616,2601616,0,200458
601617,2,80,,1601617,2601617,0,200459
